155,Maestro de Armas,Aliado,Vasallo,Héroe
EXP-050-146,Magallanes,Aliado,Real,Héroe
PI - 113/240,Magister Wigbold,Aliado,Cortesano,Héroe
BA - 174/260,Magistrado,Aliado,Vasallo,Héroe
MG-011-128,Magnus III,Aliado,Milenaria,Héroe
MG-028-128,Magnus III,Aliado,Real,Héroe
VK - 161/220,Magnus III,Aliado,Vasallo,Héroe
BA - 92/260,Magnus Maximus,Aliado,Cortesano,Héroe
AG-080-236,Máni,Aliado,Cortesano,Héroe
CRPB-61-72,Marco Antonio,Aliado,Reprint Encrucijada,
IM - 45/238,Marco Antonio,Aliado,Real,Héroe
240 - 364 II,Marco Antonio,Aliado,Real,Héroe
240,Marco Antonio,Aliado,Real,Héroe
CR-114,Marco Antonio SP,Aliado,Héroe,Reprint
AI-041-227,Marco Aurelio,Aliado,Real,Héroe
EXP-001-146,Marco Polo,Aliado,Ultra Real,Héroe
EXP-147,Marco Polo,Aliado,Legendaria,Héroe
DO-039-236,Marco Polo,Aliado,Milenaria,Héroe
DO-064-236,Marco Polo,Aliado,Real,Héroe
HGR-048-100,Marqués de Carabas,Aliado,Real,Héroe
DGO-141-200,Martha Corey,Aliado,Vasallo,Héroe
PI - 42/240,Mary Read,Aliado,Real,Héroe
DN - 70/140,Marzabán,Aliado,Cortesano,Héroe
CS - 57/260,Masamune,Aliado,Real,Héroe
TR - 153/190 V,Max Valentiner,Aliado,Vasallo,Oscuridad
HE - 142/175,McBeth,Aliado,Vasallo,Héroe
152,Medea,Aliado,Vasallo,Héroe
LGO-186-230,Melchior Cibinensis,Aliado,Vasallo,Héroe
CO - 98/128,Meleagro,Aliado,Vasallo,Héroe
147,Meleagro,Aliado,Vasallo,Héroe
CO - 92/128,Mercenario Hoplita,Aliado,Vasallo,Héroe
LD2-41-63,Mercenario Hoplita,Aliado,Vasallo,Héroe
150,Mercenario Hoplita,Aliado,Vasallo,Héroe
TI2-06-60,Mercucio,Aliado,Real,Héroe
KEM-185-231,Merneptah,Aliado,Vasallo,Héroe
KEM-063-231,Micerino,Aliado,Real,Héroe
CR - 68/140,Miguel Henríquez,Aliado,Cortesano,Héroe
KEL-049-200,Míl Espáine,Aliado,Real,Héroe
IV - 244/240,Milcíades,Aliado,Promo,Héroe
TAS-049-200,Millalicán,Aliado,Real,Héroe
KA - 110/140,Minamoto no Hiromasa,Aliado,Vasallo,Héroe
KA - 71/140,Minamoto no Tametomo,Aliado,Cortesano,Héroe
CS - 2/260 UR,Minamoto no Yoritomo,Aliado,Ultra Real,Héroe
TR - 24/190 R,Mitsuomi Kamio,Aliado,Real,Naturaleza
ESC-208-300,Moctezuma I,Aliado,Cortesano,Héroe
ACR-208-225,Moray,Aliado,Real,Héroe
CR-113,Moremi Ajasoro,Aliado,Héroe,Reprint
KNJ-247,Moremi Ajasoro,Aliado,Legendaria,Heroe
TI2-50-60,Much,Aliado,Vasallo,Héroe
CID-147-215,Muniadona de Lara,Aliado,Vasallo,Héroe
SOL-144-232,Nanabozho,Aliado,Vasallo,Heroe
OL-169-240,Narciso,Aliado,Vasallo,Héroe
KEM-132-231,Narmer,Aliado,Cortesano,Héroe
CTP-21-30,Narrador,Aliado,Real,Héroe
KEL-152-200,Nemed,Aliado,Vasallo,Héroe
SPK-10-71,Nemo,Aliado,Cortesano,Héroe
GJ - 18/236,Nenetl,Aliado,Real,Héroe
247,Nerón,Aliado,Cortesano,Héroe
DGO-023-200,Newton,Aliado,Mega Real,Héroe
TR - 66/190 C,Nicolai Yudénich,Aliado,Cortesano,Divinidad
EXP-118-146,Nicolás Polo,Aliado,Vasallo,Héroe
HGR-012-100,Niñas del Bosque,Aliado,Real,Héroe
AG-030-236,Njord,Aliado,Real,Héroe
AI-136-227,Octavia la Menor,Aliado,Vasallo,Héroe
AI-017-227,Octavio,Aliado,Mega Real,Héroe
CR-115,Odiseo,Aliado,Héroe,Reprint
